,Category,DayOfWeek,Date,Time,Location,StreetMatch,Distance
24057,ASSAULT,Friday,9/26/14,2:52,"(37.7440381549154, -122.420896598735)",8679,0.019202502
24058,ASSAULT,Friday,9/26/14,2:15,"(37.7792422155631, -122.442053306123)",8607,0.016818886
24059,ASSAULT,Friday,9/26/14,1:30,"(37.7559718109451, -122.408960920166)",8679,0.008785
24060,ASSAULT,Friday,9/26/14,1:30,"(37.7559718109451, -122.408960920166)",8679,0.008785
24061,ASSAULT,Friday,9/26/14,1:00,"(37.7693241293319, -122.452728322759)",8664,0.009944394
24062,DRUG/NARCOTIC,Friday,9/26/14,0:37,"(37.7707478792597, -122.424854040258)",8684,0.01217152
24063,ASSAULT,Friday,9/26/14,0:01,"(37.7579547862705, -122.430269450031)",8678,0.020544918
24064,ASSAULT,Friday,9/26/14,0:01,"(37.7579547862705, -122.430269450031)",8678,0.020544918
24065,KIDNAPPING,Friday,9/26/14,0:01,"(37.7579547862705, -122.430269450031)",8678,0.020544918
24066,ASSAULT,Friday,9/26/14,0:01,"(37.7540986882068, -122.414233849038)",8678,0.012188087
24067,ASSAULT,Friday,9/26/14,0:01,"(37.7853238292094, -122.417107256373)",8683,0.006883789
24068,ROBBERY,Thursday,9/25/14,23:58,"(37.7836164048533, -122.418450965192)",8683,0.007401359
24069,ASSAULT,Thursday,9/25/14,23:58,"(37.7836164048533, -122.418450965192)",8683,0.007401359
24070,ASSAULT,Thursday,9/25/14,22:41,"(37.7274687126927, -122.443244532399)",8921,0.010500764
24071,ASSAULT,Thursday,9/25/14,22:15,"(37.779911669335, -122.407474439624)",8683,0.004204158
24072,ASSAULT,Thursday,9/25/14,21:45,"(37.7436798167134, -122.482253970626)",8939,0.015008523
24073,ASSAULT,Thursday,9/25/14,21:38,"(37.7165965742893, -122.433412842892)",8921,0.004861281
24074,ASSAULT,Thursday,9/25/14,21:30,"(37.8008641207599, -122.43544321164)",8607,0.009062949
24075,ASSAULT,Thursday,9/25/14,21:30,"(37.8008641207599, -122.43544321164)",8607,0.009062949
24076,ASSAULT,Thursday,9/25/14,21:30,"(37.8008641207599, -122.43544321164)",8607,0.009062949
24077,ASSAULT,Thursday,9/25/14,21:30,"(37.8008641207599, -122.43544321164)",8607,0.009062949
24078,ROBBERY,Thursday,9/25/14,21:30,"(37.708840997265, -122.418965398635)",8918,0.013342562
24079,ASSAULT,Thursday,9/25/14,21:00,"(37.7333815339796, -122.379932683403)",8833,0.020794551
24080,ASSAULT,Thursday,9/25/14,21:00,"(37.7333815339796, -122.379932683403)",8833,0.020794551
24081,ASSAULT,Thursday,9/25/14,20:00,"(37.7493045778658, -122.413771304802)",8679,0.01117623
24082,ASSAULT,Thursday,9/25/14,18:45,"(37.7842476296454, -122.408294122336)",8683,0.00405673
24083,ROBBERY,Thursday,9/25/14,18:35,"(37.7804777480508, -122.412515341356)",8683,0.0016032
24084,ASSAULT,Thursday,9/25/14,18:35,"(37.7804777480508, -122.412515341356)",8683,0.0016032
24085,DRUG/NARCOTIC,Thursday,9/25/14,18:19,"(37.7826335031541, -122.41487855905)",8683,0.003696743
24086,ASSAULT,Thursday,9/25/14,18:18,"(37.7157728286068, -122.431690484339)",8921,0.00676785
24087,ROBBERY,Thursday,9/25/14,18:10,"(37.7721558284987, -122.429622714719)",8684,0.016963858
24088,ASSAULT,Thursday,9/25/14,17:30,"(37.7107672954351, -122.417678812123)",8918,0.011108687
24089,DRUG/NARCOTIC,Thursday,9/25/14,17:30,"(37.7564864109309, -122.406539115148)",8679,0.007667968
24090,ROBBERY,Thursday,9/25/14,16:50,"(37.776729432919, -122.423749669429)",8684,0.012390492
24091,ASSAULT,Thursday,9/25/14,16:30,"(37.7517503090386, -122.398477163886)",8679,0.004528636
24092,ASSAULT,Thursday,9/25/14,16:30,"(37.7817511307229, -122.411071423064)",8683,0.00032481
24093,ASSAULT,Thursday,9/25/14,16:15,"(37.7282055879734, -122.40390700421)",8834,0.002554759
24094,ASSAULT,Thursday,9/25/14,15:45,"(37.7882225424263, -122.420211964949)",8681,0.007229037
24095,ROBBERY,Thursday,9/25/14,15:00,"(37.7657827544276, -122.407538332319)",8678,0.003803837
24096,ASSAULT,Thursday,9/25/14,14:15,"(37.7695797471896, -122.419876917134)",8684,0.007356369
24097,ASSAULT,Thursday,9/25/14,14:05,"(37.7143149031434, -122.413894000049)",8918,0.007104045
24098,ROBBERY,Thursday,9/25/14,14:00,"(37.7650501214668, -122.419671780296)",8678,0.00837995
24099,DRUG/NARCOTIC,Thursday,9/25/14,13:29,"(37.7569011511725, -122.421118473704)",8678,0.013315508
24100,DRUG/NARCOTIC,Thursday,9/25/14,13:29,"(37.7569011511725, -122.421118473704)",8678,0.013315508
24101,ROBBERY,Thursday,9/25/14,12:21,"(37.7702618437853, -122.415414174097)",8684,0.002864706
24102,ASSAULT,Thursday,9/25/14,12:12,"(37.7823235897616, -122.403793259489)",8683,0.007583576
24103,ROBBERY,Thursday,9/25/14,12:12,"(37.7823235897616, -122.403793259489)",8683,0.007583576
24104,ASSAULT,Thursday,9/25/14,12:00,"(37.7661259454801, -122.42207304894)",8684,0.010641959
24105,ASSAULT,Thursday,9/25/14,12:00,"(37.7661259454801, -122.42207304894)",8684,0.010641959
24106,KIDNAPPING,Thursday,9/25/14,12:00,"(37.7661259454801, -122.42207304894)",8684,0.010641959
24107,ASSAULT,Thursday,9/25/14,12:00,"(37.7218048835547, -122.440006611531)",8921,0.003978056
24108,ASSAULT,Thursday,9/25/14,11:45,"(37.7836778741124, -122.410928353347)",8683,0.002150447
24109,DRUG/NARCOTIC,Thursday,9/25/14,11:00,"(37.7165965742893, -122.433412842892)",8921,0.004861281
24110,DRUG/NARCOTIC,Thursday,9/25/14,11:00,"(37.7165965742893, -122.433412842892)",8921,0.004861281
24111,DRUG/NARCOTIC,Thursday,9/25/14,11:00,"(37.7165965742893, -122.433412842892)",8921,0.004861281
24112,ASSAULT,Thursday,9/25/14,10:00,"(37.7618358012376, -122.419360352761)",8678,0.009009447
24113,ASSAULT,Thursday,9/25/14,10:00,"(37.7618358012376, -122.419360352761)",8678,0.009009447
24114,ASSAULT,Thursday,9/25/14,10:00,"(37.7299346936044, -122.397744427103)",8834,0.004240845
24115,ROBBERY,Thursday,9/25/14,9:42,"(37.7289040677766, -122.392899681522)",8834,0.008565988
24116,ASSAULT,Thursday,9/25/14,9:30,"(37.8050520228881, -122.432951589917)",8607,0.01358623
24117,ASSAULT,Thursday,9/25/14,8:55,"(37.7821198488931, -122.415669661443)",8683,0.004365807
24118,ASSAULT,Thursday,9/25/14,8:00,"(37.7834963710489, -122.430610535316)",8681,0.014425197
24119,ASSAULT,Thursday,9/25/14,6:05,"(37.7932093101245, -122.399962950879)",8682,0.012693125
24120,ASSAULT,Thursday,9/25/14,6:05,"(37.7932093101245, -122.399962950879)",8682,0.012693125
24121,ROBBERY,Thursday,9/25/14,5:00,"(37.7164586830811, -122.441018108888)",8921,0.003665679
24122,ROBBERY,Thursday,9/25/14,3:00,"(37.7769551138436, -122.41799760821)",8684,0.007870117
24123,ASSAULT,Thursday,9/25/14,2:25,"(37.7564864109309, -122.406539115148)",8679,0.007667968
24124,ASSAULT,Thursday,9/25/14,1:55,"(37.7177630857282, -122.429170392113)",8920,0.006816358
24125,ASSAULT,Thursday,9/25/14,1:50,"(37.7820729312029, -122.412224164736)",8683,0.00101955
24126,ASSAULT,Thursday,9/25/14,1:30,"(37.7840890366868, -122.411800134753)",8683,0.002563848
24127,DRUG/NARCOTIC,Thursday,9/25/14,0:55,"(37.7564864109309, -122.406539115148)",8679,0.007667968
24128,ROBBERY,Thursday,9/25/14,0:50,"(37.7738741144069, -122.475750059167)",8664,0.013762862
24129,ASSAULT,Thursday,9/25/14,0:03,"(37.775420706711, -122.403404791479)",8677,0.005638244
24130,"SEX OFFENSES, FORCIBLE",Thursday,9/25/14,0:01,"(37.775420706711, -122.403404791479)",8677,0.005638244
24131,ASSAULT,Wednesday,9/24/14,22:45,"(37.7607068350275, -122.499496943533)",8674,0.003763508
24132,ASSAULT,Wednesday,9/24/14,22:45,"(37.7607068350275, -122.499496943533)",8674,0.003763508
24133,ASSAULT,Wednesday,9/24/14,22:42,"(37.7184234393572, -122.441151894308)",8921,0.003231899
24134,ROBBERY,Wednesday,9/24/14,22:30,"(37.775420706711, -122.403404791479)",8677,0.005638244
24135,ASSAULT,Wednesday,9/24/14,22:30,"(37.7622643357423, -122.419331147814)",8678,0.008796035
24136,ASSAULT,Wednesday,9/24/14,21:52,"(37.781526271747, -122.40950430935)",8683,0.001835143
24137,ASSAULT,Wednesday,9/24/14,21:30,"(37.7529064152226, -122.407294221804)",8679,0.005564628
24138,ROBBERY,Wednesday,9/24/14,21:20,"(37.7791285379843, -122.408030111231)",8683,0.004110334
24139,ASSAULT,Wednesday,9/24/14,20:30,"(37.7808493247624, -122.43644305449)",8607,0.016577505
24140,DRUG/NARCOTIC,Wednesday,9/24/14,19:55,"(37.7747632385271, -122.411356634079)",8684,0.003855755
24141,ASSAULT,Wednesday,9/24/14,19:25,"(37.7285280627465, -122.475647460786)",8938,0.009801163
24142,ASSAULT,Wednesday,9/24/14,19:00,"(37.7172230540399, -122.391149944463)",8874,0.011186369
24143,ASSAULT,Wednesday,9/24/14,18:40,"(37.7841893501425, -122.407633520742)",8683,0.004539526
24144,ROBBERY,Wednesday,9/24/14,18:30,"(37.7842362877887, -122.417710344726)",8683,0.006907904
24145,DRUG/NARCOTIC,Wednesday,9/24/14,18:17,"(37.784625434984, -122.410979175673)",8683,0.003079529
24146,DRUG/NARCOTIC,Wednesday,9/24/14,17:54,"(37.7788323158792, -122.415642487855)",8683,0.005098873
24147,DRUG/NARCOTIC,Wednesday,9/24/14,17:54,"(37.7788323158792, -122.415642487855)",8683,0.005098873
24148,ASSAULT,Wednesday,9/24/14,17:41,"(37.7794557124927, -122.403410788208)",8611,0.007717609
24149,DRUG/NARCOTIC,Wednesday,9/24/14,17:03,"(37.773732301055, -122.44768850486)",8664,0.01554105
24150,DRUG/NARCOTIC,Wednesday,9/24/14,17:03,"(37.773732301055, -122.44768850486)",8664,0.01554105
24151,DRUG/NARCOTIC,Wednesday,9/24/14,17:03,"(37.773732301055, -122.44768850486)",8664,0.01554105
24152,DRUG/NARCOTIC,Wednesday,9/24/14,17:03,"(37.773732301055, -122.44768850486)",8664,0.01554105
24153,DRUG/NARCOTIC,Wednesday,9/24/14,17:03,"(37.773732301055, -122.44768850486)",8664,0.01554105
24154,ASSAULT,Wednesday,9/24/14,17:00,"(37.7865662290665, -122.418182397674)",8682,0.007692666
24155,ROBBERY,Wednesday,9/24/14,16:50,"(37.7677177520665, -122.415605496237)",8684,0.00450022
24156,DRUG/NARCOTIC,Wednesday,9/24/14,16:50,"(37.7677177520665, -122.415605496237)",8684,0.00450022
24157,ASSAULT,Wednesday,9/24/14,16:15,"(37.7612577113414, -122.428355366652)",8678,0.017648281
24158,ASSAULT,Wednesday,9/24/14,16:15,"(37.7612577113414, -122.428355366652)",8678,0.017648281
24159,ASSAULT,Wednesday,9/24/14,14:10,"(37.775420706711, -122.403404791479)",8677,0.005638244
24160,ASSAULT,Wednesday,9/24/14,13:30,"(37.7902737888877, -122.434185156356)",8607,0.010617348
24161,ASSAULT,Wednesday,9/24/14,13:20,"(37.7518233477278, -122.48760465666)",8696,0.015144256
24162,ASSAULT,Wednesday,9/24/14,13:20,"(37.7518233477278, -122.48760465666)",8696,0.015144256
24163,ASSAULT,Wednesday,9/24/14,12:50,"(37.7204106184752, -122.406079770608)",8836,0.002974808
24164,ASSAULT,Wednesday,9/24/14,12:48,"(37.7285280627465, -122.475647460786)",8938,0.009801163
24165,ROBBERY,Wednesday,9/24/14,11:51,"(37.7981171266965, -122.408646942187)",8682,0.007408576
24166,ROBBERY,Wednesday,9/24/14,11:51,"(37.7981171266965, -122.408646942187)",8682,0.007408576
24167,DRUG/NARCOTIC,Wednesday,9/24/14,11:51,"(37.7981171266965, -122.408646942187)",8682,0.007408576
24168,ASSAULT,Wednesday,9/24/14,11:30,"(37.7562166627216, -122.418891810986)",8678,0.012310538
24169,ASSAULT,Wednesday,9/24/14,10:50,"(37.7801242878056, -122.445893581212)",8605,0.015567776
24170,ASSAULT,Wednesday,9/24/14,10:37,"(37.7828276498838, -122.409708423721)",8683,0.002061072
24171,ASSAULT,Wednesday,9/24/14,10:34,"(37.7755687325824, -122.413980520967)",8684,0.004608409
24172,ASSAULT,Wednesday,9/24/14,7:50,"(37.7804689268479, -122.416948565876)",8683,0.00571603
24173,DRUG/NARCOTIC,Wednesday,9/24/14,7:36,"(37.7823291237659, -122.414029821727)",8683,0.002796668
24174,DRUG/NARCOTIC,Wednesday,9/24/14,7:36,"(37.7823291237659, -122.414029821727)",8683,0.002796668
24175,ASSAULT,Wednesday,9/24/14,5:25,"(37.7751600091535, -122.432805878401)",8684,0.020513632
24176,ASSAULT,Wednesday,9/24/14,2:14,"(37.7098427794823, -122.457441212767)",8936,0.007873013
24177,ASSAULT,Wednesday,9/24/14,1:01,"(37.7809706722053, -122.408710606663)",8683,0.002695192
24178,DRUG/NARCOTIC,Wednesday,9/24/14,0:23,"(37.7827931071006, -122.414056291891)",8683,0.002981109
24179,ASSAULT,Wednesday,9/24/14,0:01,"(37.775420706711, -122.403404791479)",8677,0.005638244
24180,ROBBERY,Wednesday,9/24/14,0:01,"(37.7809706722053, -122.408710606663)",8683,0.002695192
24181,"SEX OFFENSES, FORCIBLE",Wednesday,9/24/14,0:01,"(37.775420706711, -122.403404791479)",8677,0.005638244
24182,"SEX OFFENSES, FORCIBLE",Wednesday,9/24/14,0:01,"(37.775420706711, -122.403404791479)",8677,0.005638244
24183,ROBBERY,Tuesday,9/23/14,23:01,"(37.7538382048501, -122.418596727459)",8678,0.014109559
24184,ASSAULT,Tuesday,9/23/14,22:35,"(37.784696907904, -122.413609328985)",8683,0.003866616
24185,ASSAULT,Tuesday,9/23/14,22:35,"(37.784696907904, -122.413609328985)",8683,0.003866616
24186,ASSAULT,Tuesday,9/23/14,22:15,"(37.739263538003, -122.390348228773)",8833,0.011127375
24187,ASSAULT,Tuesday,9/23/14,22:15,"(37.739263538003, -122.390348228773)",8833,0.011127375
24188,ASSAULT,Tuesday,9/23/14,22:02,"(37.7837069301545, -122.408595110869)",8683,0.003479688
24189,ASSAULT,Tuesday,9/23/14,21:53,"(37.7482373940092, -122.4091747167)",8679,0.00677126
24190,DRUG/NARCOTIC,Tuesday,9/23/14,20:46,"(37.7863072236365, -122.405294845215)",8683,0.007681245
24191,ROBBERY,Tuesday,9/23/14,20:31,"(37.7841889075267, -122.410135236377)",8683,0.002885038
24192,ASSAULT,Tuesday,9/23/14,20:00,"(37.7827931071006, -122.414056291891)",8683,0.002981109
24193,ASSAULT,Tuesday,9/23/14,20:00,"(37.7887480806774, -122.419486234049)",8681,0.006968997
24194,"SEX OFFENSES, FORCIBLE",Tuesday,9/23/14,19:46,"(37.7835100715421, -122.405395493939)",8683,0.006253063
24195,DRUG/NARCOTIC,Tuesday,9/23/14,19:27,"(37.7368036226976, -122.390136349844)",8833,0.01066238
24196,ASSAULT,Tuesday,9/23/14,19:00,"(37.7857918163181, -122.396920775993)",8611,0.007093023
24197,ASSAULT,Tuesday,9/23/14,18:48,"(37.7124172088604, -122.414666837909)",8918,0.008982361
24198,ROBBERY,Tuesday,9/23/14,18:40,"(37.7911527166535, -122.395815475491)",8610,0.009729655
24199,DRUG/NARCOTIC,Tuesday,9/23/14,18:14,"(37.7764354063246, -122.415064887666)",8684,0.005799417
24200,"SEX OFFENSES, FORCIBLE",Tuesday,9/23/14,18:00,"(37.7089002573584, -122.4450855372)",8922,0.002728929
24201,KIDNAPPING,Tuesday,9/23/14,18:00,"(37.7089002573584, -122.4450855372)",8922,0.002728929
24202,ASSAULT,Tuesday,9/23/14,17:59,"(37.7600122429873, -122.435964918002)",8678,0.025328846
24203,DRUG/NARCOTIC,Tuesday,9/23/14,17:45,"(37.7817511307229, -122.411071423064)",8683,0.00032481
24204,DRUG/NARCOTIC,Tuesday,9/23/14,17:45,"(37.7817511307229, -122.411071423064)",8683,0.00032481
24205,ROBBERY,Tuesday,9/23/14,17:25,"(37.7131452213851, -122.433708216535)",8921,0.006748431
24206,DRUG/NARCOTIC,Tuesday,9/23/14,17:21,"(37.7835634796332, -122.41506687647)",8683,0.004228829
24207,DRUG/NARCOTIC,Tuesday,9/23/14,17:21,"(37.7835634796332, -122.41506687647)",8683,0.004228829
24208,ASSAULT,Tuesday,9/23/14,17:00,"(37.7456886668206, -122.412368205924)",8679,0.010627644
24209,ASSAULT,Tuesday,9/23/14,17:00,"(37.7373623605213, -122.422067184937)",8919,0.013642232
24210,ASSAULT,Tuesday,9/23/14,16:55,"(37.7621391532166, -122.42956842417)",8678,0.01862104
24211,ASSAULT,Tuesday,9/23/14,16:38,"(37.7513047638874, -122.42732707628)",8678,0.021673721
24212,ASSAULT,Tuesday,9/23/14,16:30,"(37.7102894629265, -122.418992947179)",8918,0.011999899
24213,ASSAULT,Tuesday,9/23/14,16:17,"(37.7830295716044, -122.431046366089)",8681,0.015059059
24214,DRUG/NARCOTIC,Tuesday,9/23/14,16:10,"(37.7810688918781, -122.407387172098)",8683,0.003983096
24215,ASSAULT,Tuesday,9/23/14,16:00,"(37.7883401187101, -122.407591091073)",8682,0.006095764
24216,ASSAULT,Tuesday,9/23/14,15:35,"(37.7807920840194, -122.490093437359)",8638,0.006175552
24217,ASSAULT,Tuesday,9/23/14,15:30,"(37.7159978968354, -122.408693777506)",8836,0.007387511
24218,DRUG/NARCOTIC,Tuesday,9/23/14,15:30,"(37.7762310404758, -122.414714295579)",8684,0.005474452
24219,ASSAULT,Tuesday,9/23/14,15:30,"(37.7159978968354, -122.408693777506)",8836,0.007387511
24220,ASSAULT,Tuesday,9/23/14,15:25,"(37.7989993135254, -122.44352039096)",8607,0.002999795
24221,ASSAULT,Tuesday,9/23/14,15:25,"(37.7234913181355, -122.435621772842)",8920,0.004760131
24222,ASSAULT,Tuesday,9/23/14,15:25,"(37.7234913181355, -122.435621772842)",8920,0.004760131
24223,ASSAULT,Tuesday,9/23/14,15:00,"(37.7748170645635, -122.412845031536)",8684,0.003675378
24224,ASSAULT,Tuesday,9/23/14,15:00,"(37.7748170645635, -122.412845031536)",8684,0.003675378
24225,ASSAULT,Tuesday,9/23/14,15:00,"(37.7494248005842, -122.43174723)",8920,0.025091821
24226,DRUG/NARCOTIC,Tuesday,9/23/14,14:57,"(37.7797870676495, -122.415127837608)",8683,0.004186102
24227,DRUG/NARCOTIC,Tuesday,9/23/14,14:57,"(37.7797870676495, -122.415127837608)",8683,0.004186102
24228,DRUG/NARCOTIC,Tuesday,9/23/14,14:57,"(37.7797870676495, -122.415127837608)",8683,0.004186102
24229,DRUG/NARCOTIC,Tuesday,9/23/14,14:57,"(37.7797870676495, -122.415127837608)",8683,0.004186102
24230,ROBBERY,Tuesday,9/23/14,14:53,"(37.7522391652625, -122.418448186101)",8678,0.015433684
24231,DRUG/NARCOTIC,Tuesday,9/23/14,14:53,"(37.7522391652625, -122.418448186101)",8678,0.015433684
24232,ROBBERY,Tuesday,9/23/14,14:53,"(37.8057739875696, -122.412803753)",8682,0.013935752
24233,ASSAULT,Tuesday,9/23/14,14:30,"(37.7586324051562, -122.419052694349)",8678,0.010624161
24234,DRUG/NARCOTIC,Tuesday,9/23/14,13:35,"(37.7841889075267, -122.410135236377)",8683,0.002885038
24235,ASSAULT,Tuesday,9/23/14,13:01,"(37.769247063207, -122.426955631709)",8684,0.014392322
24236,ASSAULT,Tuesday,9/23/14,13:01,"(37.769247063207, -122.426955631709)",8684,0.014392322
24237,ROBBERY,Tuesday,9/23/14,13:00,"(37.7242560470421, -122.435041282959)",8920,0.004103269
24238,ROBBERY,Tuesday,9/23/14,12:15,"(37.7988051605065, -122.429951447549)",8681,0.008594124
24239,ASSAULT,Tuesday,9/23/14,12:00,"(37.736274003944, -122.379417852372)",8833,0.02127385
24240,ASSAULT,Tuesday,9/23/14,11:30,"(37.7681979747465, -122.429080297019)",8684,0.016654116
24241,ASSAULT,Tuesday,9/23/14,11:30,"(37.7804777480508, -122.412515341356)",8683,0.0016032
24242,ASSAULT,Tuesday,9/23/14,11:15,"(37.8076403511907, -122.419919493342)",8681,0.012654731
24243,ASSAULT,Tuesday,9/23/14,11:00,"(37.7824465135592, -122.416342977622)",8683,0.005080683
24244,ASSAULT,Tuesday,9/23/14,10:30,"(37.7799338672319, -122.400799947914)",8611,0.005203758
24245,ASSAULT,Tuesday,9/23/14,10:30,"(37.7799338672319, -122.400799947914)",8611,0.005203758
24246,ASSAULT,Tuesday,9/23/14,10:15,"(37.78373004094, -122.413753670487)",8683,0.003241817
24247,ASSAULT,Tuesday,9/23/14,10:00,"(37.7164586830811, -122.441018108888)",8921,0.003665679
24248,ASSAULT,Tuesday,9/23/14,9:13,"(37.7568974050527, -122.427861631006)",8678,0.018834269
24249,ASSAULT,Tuesday,9/23/14,9:13,"(37.7568974050527, -122.427861631006)",8678,0.018834269
24250,ASSAULT,Tuesday,9/23/14,9:05,"(37.7300635967742, -122.469780843211)",8938,0.003778331
24251,DRUG/NARCOTIC,Tuesday,9/23/14,7:45,"(37.7602230009949, -122.420322490104)",8678,0.010647268
24252,ROBBERY,Tuesday,9/23/14,4:30,"(37.740797472662, -122.398798269475)",8833,0.006015181
24253,ROBBERY,Tuesday,9/23/14,3:25,"(37.7853238292094, -122.417107256373)",8683,0.006883789
24254,ASSAULT,Tuesday,9/23/14,3:15,"(37.7541209800864, -122.414782051136)",8678,0.012308394
24255,ROBBERY,Tuesday,9/23/14,2:45,"(37.7866770011071, -122.414010814727)",8682,0.005357058
24256,ASSAULT,Tuesday,9/23/14,2:19,"(37.7322083101759, -122.418968700591)",8919,0.008983503
24257,ASSAULT,Tuesday,9/23/14,2:19,"(37.7322083101759, -122.418968700591)",8919,0.008983503
24258,ASSAULT,Tuesday,9/23/14,2:19,"(37.7322083101759, -122.418968700591)",8919,0.008983503
24259,ASSAULT,Tuesday,9/23/14,0:30,"(37.7824465135592, -122.416342977622)",8683,0.005080683
24260,ASSAULT,Tuesday,9/23/14,0:30,"(37.7824465135592, -122.416342977622)",8683,0.005080683
24261,ASSAULT,Tuesday,9/23/14,0:30,"(37.7317262860764, -122.388723051056)",8833,0.012396382
24262,ASSAULT,Tuesday,9/23/14,0:30,"(37.7317262860764, -122.388723051056)",8833,0.012396382
24263,ROBBERY,Tuesday,9/23/14,0:01,"(37.7786311131248, -122.431765489439)",8681,0.019140382
24264,"SEX OFFENSES, FORCIBLE",Tuesday,9/23/14,0:01,"(37.775420706711, -122.403404791479)",8677,0.005638244
24265,ROBBERY,Monday,9/22/14,23:25,"(37.7856843389472, -122.421395819115)",8681,0.009531105
24266,ASSAULT,Monday,9/22/14,23:11,"(37.7825851968467, -122.415694922134)",8683,0.004473341
24267,DRUG/NARCOTIC,Monday,9/22/14,23:11,"(37.7825851968467, -122.415694922134)",8683,0.004473341
24268,ASSAULT,Monday,9/22/14,22:55,"(37.7627436601147, -122.421747650463)",8678,0.010887783
24269,ASSAULT,Monday,9/22/14,22:55,"(37.7627436601147, -122.421747650463)",8678,0.010887783
24270,ASSAULT,Monday,9/22/14,22:23,"(37.7293119114256, -122.390894724304)",8834,0.010608227
24271,ROBBERY,Monday,9/22/14,22:10,"(37.778563997283, -122.443673182412)",8605,0.017277091
24272,ASSAULT,Monday,9/22/14,21:30,"(37.7998288660666, -122.435218147193)",8607,0.008757646
24273,ROBBERY,Monday,9/22/14,21:00,"(37.7809039696758, -122.411979487494)",8683,0.000921864
24274,ASSAULT,Monday,9/22/14,20:55,"(37.7536178531447, -122.395513264888)",8679,0.008012043
24275,ASSAULT,Monday,9/22/14,20:55,"(37.7536178531447, -122.395513264888)",8679,0.008012043
24276,ROBBERY,Monday,9/22/14,20:45,"(37.770242204169, -122.430076617284)",8684,0.017411039
24277,ASSAULT,Monday,9/22/14,20:45,"(37.770242204169, -122.430076617284)",8684,0.017411039
24278,ASSAULT,Monday,9/22/14,20:45,"(37.7699549503465, -122.447783070559)",8664,0.014890257
24279,ROBBERY,Monday,9/22/14,20:45,"(37.7423897314507, -122.422632495887)",8919,0.018682591
24280,ASSAULT,Monday,9/22/14,20:45,"(37.7423897314507, -122.422632495887)",8919,0.018682591
24281,KIDNAPPING,Monday,9/22/14,20:45,"(37.7423897314507, -122.422632495887)",8919,0.018682591
24282,ASSAULT,Monday,9/22/14,20:35,"(37.7809706722053, -122.408710606663)",8683,0.002695192
24283,ASSAULT,Monday,9/22/14,20:30,"(37.7421054994154, -122.475458634529)",8939,0.008890753
24284,ASSAULT,Monday,9/22/14,19:51,"(37.78764305018, -122.403434086745)",8683,0.009970258
24285,ASSAULT,Monday,9/22/14,19:14,"(37.7620804256086, -122.468320110335)",8665,0.004596165
24286,ASSAULT,Monday,9/22/14,19:14,"(37.7620804256086, -122.468320110335)",8665,0.004596165
24287,ROBBERY,Monday,9/22/14,19:10,"(37.7108945814914, -122.420556751442)",8918,0.012147789
24288,ASSAULT,Monday,9/22/14,19:00,"(37.7162069767565, -122.427088027987)",8920,0.009004093
24289,ASSAULT,Monday,9/22/14,18:40,"(37.754707673677, -122.439975118381)",8665,0.025715012
24290,DRUG/NARCOTIC,Monday,9/22/14,18:30,"(37.7828419848131, -122.421667086071)",8683,0.010406486
24291,DRUG/NARCOTIC,Monday,9/22/14,18:30,"(37.7828419848131, -122.421667086071)",8683,0.010406486
24292,ROBBERY,Monday,9/22/14,18:29,"(37.7303190833183, -122.404708560341)",8834,0.004185794
